# x,y,z,vel.x,vel.y,vel.z
2.6562028,5.179143,0.61856943,0.014757396,0.028774409,-0.011800581
3.3485348,-5.7443433,0.5897919,0.00938309,-0.016096497,-0.029378911
4.504255,2.80615,-1.2039634,-0.04942718,-0.030793134,0.018804632
6.1634073,3.121992,-0.54892755,-0.0128227165,-0.006495178,-0.02942113
4.5554266,0.55491424,0.19508459,0.013854859,0.0016877146,0.07509535
-0.07777375,5.748642,0.25171587,-0.00019904411,0.014712373,-0.01099922
-2.0000913,5.676025,-0.75234157,0.011322085,-0.032130755,-0.017583376
-1.4566275,-6.5653095,0.4748455,-0.0031477003,-0.014187316,-0.030580208
1.3348551,-5.0072174,-1.1054729,-0.014894439,0.055871002,0.02598738
-2.133186,-3.884299,1.1474807,-0.02809276,-0.051153842,0.070881866
-5.465557,2.8622098,0.6717633,-0.025373034,0.013287382,-0.022692021
-5.037844,0.38458237,-1.6574035,0.062263012,-0.0047530737,0.030752227
-2.5984237,-5.226349,-0.7232032,0.016148966,0.03248127,-0.011400951
-5.7962103,0.8152265,0.6174281,-0.03147927,0.004427502,-0.013193988
-3.0839834,-1.6742833,0.8133849,-0.029978335,-0.01627513,0.11331913
-5.1407056,-0.6993149,0.79100645,-0.047417168,-0.0064503876,0.025961546
6.172092,0.27426866,0.40896577,0.018498803,0.0008220297,-0.025671532
-3.9562864,1.6833059,-0.44128737,0.026386896,-0.011226995,0.09297545
3.4535446,-4.8051634,-0.80338025,-0.021964192,0.03056035,-0.013576961
2.71162,-5.3679347,-0.24978441,-0.005758494,0.011399541,-0.022115666
-3.1331186,-4.2083035,-1.1336073,0.03447329,0.046303403,0.022138217
-4.457739,-0.2598867,-0.7004665,0.043730468,0.0025494904,0.07826039
-6.793498,0.87362653,0.7459434,-0.019326981,0.0024854012,-0.02755759
-0.09687542,4.3216825,0.17283936,-0.000264078,0.011780721,0.09419598
-1.9684924,-5.4809613,0.39532486,-0.007372289,-0.020526985,-0.013784674
6.3112264,1.7288831,-0.7385045,-0.023301922,-0.006383275,-0.027124617
-3.2510724,0.68429697,0.9540439,-0.03344747,0.007040145,0.11111523
-4.3267245,-0.4479427,1.8815532,-0.058276214,-0.006033295,0.05656297
-4.109595,-2.166218,-0.4946083,0.029851548,0.015735116,0.068444915
1.2297689,4.248644,1.3462204,0.016958239,0.05858783,0.06654244
0.9864714,3.4387279,-0.06608778,-0.0009190866,-0.0032038314,0.12486308
4.3029547,-0.3466168,1.510425,0.06028268,-0.0048559606,0.06715287
-4.1160865,-3.9080334,1.4450693,-0.03938552,-0.03739473,0.0032911145
1.4298202,-6.1601486,-1.0474892,-0.007986216,0.034407318,-0.020110982
5.7283335,1.2948663,0.99390817,0.042868976,0.00969036,-0.009501986
3.9271843,-3.7250931,-0.25165772,-0.012097961,0.011475405,0.009411037
5.51333,-2.7800016,-1.1656195,-0.03627864,0.01829288,-0.015474322
1.6824933,-6.518925,-0.09862164,-0.000783484,0.0030356583,-0.032638382
-2.9924688,5.0385756,0.5444439,-0.014561522,0.024517989,-0.01417884
-5.846102,-1.7296162,-0.19589047,0.009210284,0.0027249362,-0.024914509
-1.2533116,-5.3953123,-1.1970265,0.012345585,0.053145837,0.006848325
-3.9405866,0.97299933,-1.4370716,0.054733753,-0.013514711,0.07923232
-0.2084227,-3.9248827,1.0441631,-0.002572194,-0.04843796,0.09616838
-1.9314649,-3.1060011,-1.1550965,0.023887083,0.038412966,0.09997447
-3.816208,3.96085,1.8452263,-0.038785934,0.040256,0.012619967
-1.1729975,-3.496728,1.0110427,-0.013660091,-0.040721003,0.104048304
0.88793236,-4.691191,-0.08754904,-0.0011913157,0.006294045,0.06055304
6.837671,-0.3085703,-0.08969764,-0.0026111829,0.00011783737,-0.032300375
3.1264937,3.1703396,1.6888618,0.043092478,0.0436968,0.057123717
3.2242327,2.1088116,-0.87061274,-0.0353655,-0.023130829,0.10395703
2.1670194,-2.5406613,-0.6752846,-0.017423898,0.020428164,0.118645616
-2.1680753,4.248595,-0.7500741,0.021609066,-0.042345457,0.056383766
4.395999,-1.5997005,-1.2715131,-0.05836679,0.021239627,0.054665644
-3.9222913,4.1384115,-0.2621076,0.01074656,-0.011338704,-0.008495907
3.4250362,-2.3222566,0.0778711,0.004185862,-0.002838115,0.1055185
-4.8115997,-1.2356677,-1.4124608,0.061237752,0.015726482,0.036762852
-1.1851335,5.0947814,-0.28838065,0.004505707,-0.019369626,0.02289148
5.4994664,3.3265371,0.8421741,0.02466661,0.014920429,-0.024660593
2.3365533,-4.7850647,1.0867604,0.024477247,-0.05012733,0.017519906
3.260099,0.59096843,-0.7137959,-0.027182974,-0.004927544,0.1178449
-1.2631054,-4.626066,-0.46042448,0.008414843,0.030818978,0.057158284
-2.8165066,5.0072803,1.844614,-0.025408838,0.04517268,0.0049134744
2.833021,-3.8303893,-1.5957396,-0.03775779,0.051050473,0.044969425
0.5828285,-4.6667805,-1.8630673,-0.007565448,0.06057747,0.043613963
-1.6131711,4.155377,1.3921214,-0.022315873,0.05748357,0.06377337
-2.563353,-2.5253348,0.16783722,-0.0060662865,-0.005976314,0.12400741
4.3151984,2.64854,0.8292648,0.042865302,0.026309432,0.03459456
-4.851448,-3.468886,-1.2244608,0.03762019,0.02689921,-0.009243693
3.343749,3.9954896,-0.73183626,-0.028951604,-0.034594655,0.024462944
-4.0576777,-1.7498927,1.7078675,-0.05594946,-0.024128478,0.05805127
-5.129676,0.72958004,-0.18098886,0.012639977,-0.0017977508,0.026777418
-6.0351844,1.982469,1.1972344,-0.035187475,0.0115585625,-0.01806815
3.903751,4.2004714,0.9500785,0.031027356,0.033385716,-0.004509538
-4.436619,1.7927952,0.76498514,-0.044715457,0.018069088,0.055105466
0.004268143,-5.4015555,-0.5219526,-2.5984704e-05,0.032882098,0.010884142
-3.7336397,3.2121084,-0.6457816,0.03215777,-0.02766584,0.045742992
0.93427044,-3.0659406,0.78954923,0.008142457,-0.02672063,0.11628137
1.8561778,3.7649536,-0.9516347,-0.022336693,-0.045306344,0.08787178
-2.005217,6.518793,0.27804726,-0.0023951917,0.0077865683,-0.031756476
-5.3605595,-2.9683294,1.0304832,-0.034379058,-0.019036893,-0.0165723
4.3661613,-1.54518,1.1530691,0.056606513,-0.020032989,0.059455965
-1.6717483,4.850279,-1.609417,0.020248905,-0.058748584,0.027401175
-3.867158,-3.0760515,0.4931568,-0.026493564,-0.02107376,0.04537524
-5.8232474,2.1362445,0.010591921,-0.00046103628,0.00016913009,-0.027997306
0.15232225,-6.928737,0.4447915,0.0002566993,-0.011676573,-0.030177103
5.298544,1.1470548,-0.7702929,-0.043500077,-0.009417109,0.010588317
1.2832121,-4.9945726,1.6261532,0.015386762,-0.059889004,0.026123337
-1.9382546,3.0515504,-0.24805497,0.006757053,-0.010638173,0.12300861
-2.1477342,-6.163224,-1.2801864,0.011233672,0.032236602,-0.018661631
-0.057169493,-5.6764464,-1.7299083,0.00054281694,0.053897295,0.0059559993
-2.537849,-4.7743354,1.4532754,-0.027710477,-0.05213041,0.01454922
-0.37956735,-5.734824,1.461862,-0.0034958224,-0.05281786,0.00089141127
1.8211032,-5.6664515,1.0452155,0.013291535,-0.041357256,-0.011481472
-5.0546446,-4.1947517,1.0002257,-0.022583537,-0.018741641,-0.02349666
2.0031302,-3.4792695,1.3135602,0.027267758,-0.04736181,0.08468935
-1.6941327,5.471748,1.5281163,-0.015812583,0.05107183,0.0022861848
0.39624244,-5.304041,0.9681165,0.0039324006,-0.05263851,0.017593892
4.484304,5.1976914,-0.45773748,-0.008246588,-0.009558505,-0.030393856
3.2153187,0.08798779,0.5463228,0.020799324,0.00056917715,0.1218865
-3.1622446,5.984002,0.064236134,-0.00092922506,0.001758398,-0.032617554
